Movie Name,IMDB Rating,Biography,Drama,Thriller,Comedy,Crime,Mystery,History,Label
The Imitation Game,8.0,1,1,1,0,0,0,0,0
Ex Machina,7.7,0,1,0,0,0,1,0,0
A Beautiful Mind,8.2,1,1,0,0,0,0,0,0
Good Will Hunting,8.3,0,1,0,0,0,0,0,0
Forrest Gump,8.8,0,1,0,0,0,0,0,0
21,6.8,0,1,0,0,1,0,1,0
Gifted,7.6,0,1,0,0,0,0,0,0
Travelling Salesman,5.9,0,1,0,0,0,1,0,0
Avatar,7.9,0,0,0,0,0,0,0,0
The Karate Kid,7.2,0,1,0,0,0,0,0,0
A Brilliant Young Mind,7.2,0,1,0,0,0,0,0,0
A Time To Kill,7.4,0,1,1,0,1,0,0,0
Interstellar,8.6,0,1,0,0,0,0,0,0
The Wolf of Wall Street,8.2,1,0,0,1,1,0,0,0
Black Panther,7.4,0,0,0,0,0,0,0,0
Inception,8.8,0,0,0,0,0,0,0,0
The Wind Rises,7.8,1,1,0,0,0,0,0,0
Spirited Away,8.6,0,0,0,0,0,0,0,0
Finding Forrester,7.3,0,1,0,0,0,0,0,0
The Fountain,7.3,0,0,0,0,0,0,0,0
The DaVinci Code,6.6,0,0,1,0,0,1,0,0
Stand and Deliver,7.3,0,1,0,0,0,0,0,0
The Terminator,8.0,0,0,0,0,0,0,0,0
21 Jump Street,7.2,0,0,0,1,1,0,0,0
The Avengers,8.1,0,0,0,0,0,0,0,0
Thor: Ragnarok,7.9,0,0,0,1,0,0,0,0
Spirit: Stallion of the Cimarron,7.1,0,0,0,0,0,0,0,0
Hacksaw Ridge,8.2,1,1,0,0,0,0,1,0
12 Years a Slave,8.1,1,1,0,0,0,0,1,0
Queen of Katwe,7.4,1,1,0,0,0,0,0,0
