PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
503,0,3,1,29.31946987951807,0,0,7.6292,0,2
705,0,3,0,26.0,1,0,7.8542,0,0
464,0,2,0,48.0,0,0,13.0,0,0
203,0,3,0,34.0,0,0,6.4958,0,0
816,0,1,0,29.31946987951807,0,0,0.0,1,0
880,1,1,1,56.0,0,1,83.1583,1,1
608,1,1,0,27.0,0,0,30.5,0,0
491,0,3,0,29.31946987951807,1,0,19.9667,0,0
316,1,3,1,26.0,0,0,7.8542,0,0
207,0,3,0,32.0,1,0,15.85,0,0
123,0,2,0,32.5,1,0,30.0708,0,1
274,0,1,0,37.0,0,1,29.7,1,1
398,0,2,0,46.0,0,0,26.0,0,0
362,0,2,0,29.0,1,0,27.7208,0,1
258,1,1,1,30.0,0,0,86.5,1,0
84,0,1,0,28.0,0,0,47.1,0,0
43,0,3,0,29.31946987951807,0,0,7.8958,0,1
618,0,3,1,26.0,1,0,16.1,0,0
416,0,3,1,29.31946987951807,0,0,8.05,0,0
349,1,3,0,3.0,1,1,15.9,0,0
717,1,1,1,38.0,0,0,227.525,1,1
2,1,1,1,38.0,1,0,71.2833,1,1
247,0,3,1,25.0,0,0,7.775,0,0
492,0,3,0,21.0,0,0,7.25,0,0
277,0,3,1,45.0,0,0,7.75,0,0
300,1,1,1,50.0,0,1,247.5208,1,1
665,1,3,0,20.0,1,0,7.925,0,0
686,0,2,0,25.0,1,2,41.5792,0,1
534,1,3,1,29.31946987951807,0,2,22.3583,0,1
630,0,3,0,29.31946987951807,0,0,7.7333,0,2
775,1,2,1,54.0,1,3,23.0,0,0
730,0,3,1,25.0,1,0,7.925,0,0
510,1,3,0,26.0,0,0,56.4958,0,0
639,0,3,1,41.0,0,5,39.6875,0,0
744,0,3,0,24.0,1,0,16.1,0,0
28,0,1,0,19.0,3,2,263.0,1,0
205,1,3,0,18.0,0,0,8.05,0,0
34,0,2,0,66.0,0,0,10.5,0,0
319,1,1,1,31.0,0,2,164.8667,1,0
643,0,3,1,2.0,3,2,27.9,0,0
289,1,2,0,42.0,0,0,13.0,0,0
514,1,1,1,54.0,1,0,59.4,0,1
792,0,2,0,16.0,0,0,26.0,0,0
395,1,3,1,24.0,0,2,16.7,1,0
31,0,1,0,40.0,0,0,27.7208,0,1
388,1,2,1,36.0,0,0,13.0,0,0
574,1,3,1,29.31946987951807,0,0,7.75,0,2
675,0,2,0,29.31946987951807,0,0,0.0,0,0
850,1,1,1,29.31946987951807,1,0,89.1042,1,1
309,0,2,0,30.0,1,0,24.0,0,1
439,0,1,0,64.0,1,4,263.0,1,0
864,0,3,1,29.31946987951807,8,2,69.55,0,0
843,1,1,1,30.0,0,0,31.0,0,1
581,1,2,1,25.0,1,1,30.0,0,0
832,1,2,0,0.83,1,1,18.75,0,0
555,1,3,1,22.0,0,0,7.775,0,0
862,0,2,0,21.0,1,0,11.5,0,0
18,1,2,0,29.31946987951807,0,0,13.0,0,0
760,1,1,1,33.0,0,0,86.5,1,0
192,0,2,0,19.0,0,0,13.0,0,0
532,0,3,0,29.31946987951807,0,0,7.2292,0,1
391,1,1,0,36.0,1,2,120.0,1,0
236,0,3,1,29.31946987951807,0,0,7.55,0,0
299,1,1,0,29.31946987951807,0,0,30.5,1,0
271,0,1,0,29.31946987951807,0,0,31.0,0,0
402,0,3,0,26.0,0,0,8.05,0,0
102,0,3,0,29.31946987951807,0,0,7.8958,0,0
826,0,3,0,29.31946987951807,0,0,6.95,0,2
548,1,2,0,29.31946987951807,0,0,13.8625,0,1
199,1,3,1,29.31946987951807,0,0,7.75,0,2
114,0,3,1,20.0,1,0,9.825,0,0
693,1,3,0,29.31946987951807,0,0,56.4958,0,0
201,0,3,0,28.0,0,0,9.5,0,0
580,1,3,0,32.0,0,0,7.925,0,0
774,0,3,0,29.31946987951807,0,0,7.225,0,1
448,1,1,0,34.0,0,0,26.55,0,0
293,0,2,0,36.0,0,0,12.875,1,1
45,1,3,1,19.0,0,0,7.8792,0,2
683,0,3,0,20.0,0,0,9.225,0,0
429,0,3,0,29.31946987951807,0,0,7.75,0,2
157,1,3,1,16.0,0,0,7.7333,0,2
660,0,1,0,58.0,0,2,113.275,1,1
350,0,3,0,42.0,0,0,8.6625,0,0
863,1,1,1,48.0,0,0,25.9292,1,0
371,1,1,0,25.0,1,0,55.4417,1,1
270,1,1,1,35.0,0,0,135.6333,1,0
325,0,3,0,29.31946987951807,8,2,69.55,0,0
859,1,3,1,24.0,0,3,19.2583,0,1
341,1,2,0,2.0,1,1,26.0,1,0
434,0,3,0,17.0,0,0,7.125,0,0
239,0,2,0,19.0,0,0,10.5,0,0
545,0,1,0,50.0,1,0,106.425,1,1
789,1,3,0,1.0,1,2,20.575,0,0
835,0,3,0,18.0,0,0,8.3,0,0
520,0,3,0,32.0,0,0,7.8958,0,0
217,1,3,1,27.0,0,0,7.925,0,0
840,1,1,0,29.31946987951807,0,0,29.7,1,1
727,1,2,1,30.0,3,0,21.0,0,0
700,0,3,0,42.0,0,0,7.65,1,0
569,0,3,0,29.31946987951807,0,0,7.2292,0,1
806,0,3,0,31.0,0,0,7.775,0,0
370,1,1,1,24.0,0,0,69.3,1,1
673,0,2,0,70.0,0,0,10.5,0,0
511,1,3,0,29.0,0,0,7.75,0,2
195,1,1,1,44.0,0,0,27.7208,1,1
636,1,2,1,28.0,0,0,13.0,0,0
88,0,3,0,29.31946987951807,0,0,8.05,0,0
179,0,2,0,30.0,0,0,13.0,0,0
206,0,3,1,2.0,0,1,10.4625,1,0
482,0,2,0,29.31946987951807,0,0,0.0,0,0
301,1,3,1,29.31946987951807,0,0,7.75,0,2
720,0,3,0,33.0,0,0,7.775,0,0
411,0,3,0,29.31946987951807,0,0,7.8958,0,0
214,0,2,0,30.0,0,0,13.0,0,0
722,0,3,0,17.0,1,0,7.0542,0,0
502,0,3,1,21.0,0,0,7.75,0,2
212,1,2,1,35.0,0,0,21.0,0,0
465,0,3,0,29.31946987951807,0,0,8.05,0,0
467,0,2,0,29.31946987951807,0,0,0.0,0,0
152,1,1,1,22.0,1,0,66.6,1,0
246,0,1,0,44.0,2,0,90.0,1,2
823,0,1,0,38.0,0,0,0.0,0,0
278,0,2,0,29.31946987951807,0,0,0.0,0,0
32,1,1,1,29.31946987951807,1,0,146.5208,1,1
440,0,2,0,31.0,0,0,10.5,0,0
306,1,1,0,0.92,1,2,151.55,1,0
379,0,3,0,20.0,0,0,4.0125,0,1
709,1,1,1,22.0,0,0,151.55,0,0
637,0,3,0,32.0,0,0,7.925,0,0
10,1,2,1,14.0,1,0,30.0708,0,1
91,0,3,0,29.0,0,0,8.05,0,0
422,0,3,0,21.0,0,0,7.7333,0,2
136,0,2,0,23.0,0,0,15.0458,0,1
134,1,2,1,29.0,1,0,26.0,0,0
314,0,3,0,28.0,0,0,7.8958,0,0
539,0,3,0,29.31946987951807,0,0,14.5,0,0
410,0,3,1,29.31946987951807,3,1,25.4667,0,0
48,1,3,1,29.31946987951807,0,0,7.75,0,2
739,0,3,0,29.31946987951807,0,0,7.8958,0,0
577,1,2,1,34.0,0,0,13.0,0,0
171,0,1,0,61.0,0,0,33.5,1,0
861,0,3,0,41.0,2,0,14.1083,0,0
66,1,3,0,29.31946987951807,1,1,15.2458,0,1
30,0,3,0,29.31946987951807,0,0,7.8958,0,0
854,1,1,1,16.0,0,1,39.4,1,0
831,1,3,1,15.0,1,0,14.4542,0,1
619,1,2,1,4.0,2,1,39.0,1,0
634,0,1,0,29.31946987951807,0,0,0.0,0,0
353,0,3,0,15.0,1,1,7.2292,0,1
283,0,3,0,16.0,0,0,9.5,0,0
116,0,3,0,21.0,0,0,7.925,0,0
169,0,1,0,29.31946987951807,0,0,25.925,0,0
755,1,2,1,48.0,1,2,65.0,0,0
187,1,3,1,29.31946987951807,1,0,15.5,0,2
242,1,3,1,29.31946987951807,1,0,15.5,0,2
494,0,1,0,71.0,0,0,49.5042,0,1
594,0,3,1,29.31946987951807,0,2,7.75,0,2
565,0,3,1,29.31946987951807,0,0,8.05,0,0
112,0,3,1,14.5,1,0,14.4542,0,1
269,1,1,1,58.0,0,1,153.4625,1,0
331,1,3,1,29.31946987951807,2,0,23.25,0,2
519,1,2,1,36.0,1,0,26.0,0,0
170,0,3,0,28.0,0,0,56.4958,0,0
237,0,2,0,44.0,1,0,26.0,0,0
340,0,1,0,45.0,0,0,35.5,1,0
90,0,3,0,24.0,0,0,8.05,0,0
538,1,1,1,30.0,0,0,106.425,0,1
645,1,3,1,0.75,2,1,19.2583,0,1
582,1,1,1,39.0,1,1,110.8833,1,1
145,0,2,0,18.0,0,0,11.5,0,0
408,1,2,0,3.0,1,1,18.75,0,0
272,1,3,0,25.0,0,0,0.0,0,0
419,0,2,0,30.0,0,0,13.0,0,0
366,0,3,0,30.0,0,0,7.25,0,0
527,1,2,1,50.0,0,0,10.5,0,0
784,0,3,0,29.31946987951807,1,2,23.45,0,0
220,0,2,0,30.0,0,0,10.5,0,0
125,0,1,0,54.0,0,1,77.2875,1,0
752,1,3,0,6.0,0,1,12.475,1,0
525,0,3,0,29.31946987951807,0,0,7.2292,0,1
528,0,1,0,29.31946987951807,0,0,221.7792,1,0
767,0,1,0,29.31946987951807,0,0,39.6,0,1
264,0,1,0,40.0,0,0,0.0,1,0
100,0,2,0,34.0,1,0,26.0,0,0
441,1,2,1,45.0,1,1,26.25,0,0
387,0,3,0,1.0,5,2,46.9,0,0
537,0,1,0,45.0,0,0,26.55,1,0
143,1,3,1,24.0,1,0,15.85,0,0
553,0,3,0,29.31946987951807,0,0,7.8292,0,2
770,0,3,0,32.0,0,0,8.3625,0,0
456,1,3,0,29.0,0,0,7.8958,0,1
392,1,3,0,21.0,0,0,7.7958,0,0
219,1,1,1,32.0,0,0,76.2917,1,1
585,0,3,0,29.31946987951807,0,0,8.7125,0,1
876,1,3,1,15.0,0,0,7.225,0,1
474,1,2,1,23.0,0,0,13.7917,1,1
