,workclass,marital-status,occupation,relationship,race,gender,native-country,age,educational-num,capital-gain,capital-loss,hours-per-week,target
31551,4.0,0.0,4.0,4.0,4.0,0.0,39.0,43,14,0,2547,40,1
19025,4.0,2.0,10.0,0.0,4.0,1.0,39.0,34,13,0,0,40,1
2610,2.0,2.0,13.0,5.0,4.0,0.0,39.0,37,10,7298,0,36,1
24613,2.0,2.0,11.0,5.0,2.0,0.0,39.0,44,13,15024,0,40,1
37873,0.0,2.0,0.0,5.0,4.0,0.0,39.0,40,9,0,0,35,1
22117,4.0,2.0,4.0,0.0,4.0,1.0,39.0,34,13,0,0,50,1
25246,6.0,2.0,4.0,0.0,4.0,1.0,39.0,51,9,0,0,45,1
30716,4.0,2.0,10.0,0.0,4.0,1.0,39.0,57,14,0,0,55,1
3684,4.0,2.0,4.0,0.0,4.0,1.0,39.0,54,13,0,0,40,1
30092,4.0,2.0,12.0,0.0,4.0,1.0,39.0,38,13,0,0,50,1
29002,4.0,0.0,10.0,4.0,4.0,0.0,39.0,47,14,0,0,50,1
15299,5.0,2.0,4.0,5.0,4.0,0.0,39.0,40,13,0,0,55,1
15898,5.0,4.0,8.0,1.0,4.0,1.0,39.0,47,15,0,0,60,1
25021,4.0,2.0,1.0,5.0,4.0,0.0,39.0,56,9,0,0,37,1
6569,4.0,2.0,5.0,0.0,4.0,1.0,39.0,24,9,0,0,55,0
36021,4.0,2.0,10.0,0.0,4.0,1.0,39.0,48,14,0,0,55,1
28247,4.0,2.0,6.0,5.0,4.0,0.0,24.0,48,10,0,0,40,0
15412,4.0,4.0,8.0,3.0,4.0,1.0,39.0,18,10,0,0,20,0
34559,4.0,4.0,12.0,3.0,4.0,0.0,39.0,17,7,0,0,20,0
17306,4.0,2.0,4.0,0.0,1.0,1.0,0.0,47,14,15024,0,40,1
2809,4.0,0.0,3.0,1.0,4.0,1.0,39.0,35,11,0,0,40,0
16014,6.0,4.0,12.0,1.0,4.0,1.0,39.0,43,10,0,0,65,0
37084,4.0,2.0,10.0,0.0,4.0,1.0,22.0,42,13,0,0,40,1
20172,4.0,0.0,10.0,4.0,4.0,0.0,39.0,83,10,0,0,20,0
17414,4.0,4.0,8.0,3.0,2.0,0.0,39.0,26,9,0,0,40,0
39008,6.0,2.0,5.0,0.0,4.0,1.0,39.0,52,11,0,0,48,1
34135,4.0,4.0,10.0,1.0,1.0,1.0,39.0,90,13,0,0,40,0
31402,4.0,4.0,1.0,2.0,1.0,0.0,39.0,18,7,0,0,20,0
31898,4.0,2.0,6.0,0.0,4.0,1.0,39.0,58,5,0,0,40,0
24557,6.0,2.0,3.0,0.0,4.0,1.0,39.0,51,10,0,0,40,0
12697,4.0,4.0,10.0,1.0,4.0,0.0,0.0,43,12,0,0,32,1
2316,4.0,0.0,1.0,4.0,4.0,0.0,39.0,41,10,0,0,40,0
26871,2.0,0.0,13.0,4.0,4.0,0.0,39.0,25,9,0,0,40,0
35973,4.0,0.0,10.0,4.0,4.0,0.0,28.0,43,13,0,0,24,0
33819,4.0,4.0,8.0,3.0,2.0,0.0,39.0,26,10,0,0,50,0
9235,4.0,2.0,3.0,0.0,4.0,1.0,39.0,45,11,0,0,40,0
28719,4.0,2.0,10.0,0.0,4.0,1.0,39.0,49,10,0,1848,44,1
28081,4.0,6.0,1.0,4.0,4.0,0.0,39.0,63,11,0,0,8,0
13094,4.0,2.0,10.0,0.0,4.0,1.0,39.0,30,15,0,0,50,0
16294,7.0,4.0,10.0,1.0,4.0,1.0,39.0,25,13,0,0,20,0
26577,7.0,2.0,10.0,5.0,4.0,0.0,39.0,44,9,0,0,40,1
37621,0.0,6.0,0.0,4.0,4.0,0.0,39.0,65,9,0,0,40,0
30175,4.0,0.0,7.0,4.0,4.0,0.0,39.0,35,9,0,0,40,0
35728,4.0,5.0,13.0,1.0,4.0,1.0,39.0,42,13,0,0,40,0
14140,4.0,6.0,7.0,2.0,4.0,1.0,39.0,46,7,0,0,20,0
35403,4.0,2.0,12.0,5.0,4.0,0.0,39.0,33,9,0,0,20,0
4178,2.0,2.0,1.0,0.0,4.0,1.0,39.0,42,9,0,0,8,0
38465,4.0,6.0,5.0,4.0,4.0,0.0,39.0,63,6,0,0,56,0
15458,4.0,2.0,4.0,0.0,4.0,1.0,39.0,62,14,0,0,50,1
3621,6.0,2.0,13.0,0.0,4.0,1.0,39.0,49,9,0,0,30,1
14244,4.0,0.0,8.0,4.0,4.0,0.0,39.0,25,7,0,0,12,0
8992,4.0,4.0,4.0,1.0,4.0,1.0,39.0,25,13,4101,0,35,0
37113,4.0,2.0,12.0,0.0,4.0,1.0,39.0,31,10,0,0,40,0
21923,4.0,4.0,10.0,1.0,4.0,0.0,39.0,39,15,14084,0,35,1
27674,4.0,2.0,14.0,0.0,4.0,1.0,39.0,33,10,0,0,40,0
11823,4.0,2.0,10.0,0.0,4.0,1.0,39.0,57,9,0,0,45,0
958,4.0,4.0,1.0,3.0,4.0,0.0,39.0,23,9,0,0,35,0
29634,0.0,2.0,0.0,0.0,4.0,1.0,39.0,66,10,0,0,40,0
