"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","20,15","20,52","1,90","20,15","20,69","6,34M"
"27/12/2018","19,78","20,14","1,69","19,74","20,24","1,59M"
"26/12/2018","20,00","19,81","-1,02","19,50","20,00","3,06M"
"21/12/2018","20,59","20,01","-1,68","19,98","20,59","12,07M"
"20/12/2018","20,52","20,35","0,40","20,13","20,52","2,36M"
"19/12/2018","20,58","20,27","-0,77","20,27","20,69","10,35M"
"18/12/2018","20,54","20,43","0,20","20,36","20,58","5,92M"
"17/12/2018","20,71","20,39","-1,91","20,39","20,73","14,36M"
"14/12/2018","20,86","20,78","-0,39","20,59","20,86","3,47M"
"13/12/2018","20,48","20,86","2,00","20,34","20,86","2,17M"
"12/12/2018","20,41","20,45","0,47","20,31","20,62","4,34M"
"11/12/2018","20,39","20,36","0,74","20,00","20,51","2,20M"
"10/12/2018","20,75","20,21","-2,37","20,19","20,79","7,89M"
"07/12/2018","20,80","20,70","-0,49","20,52","20,98","7,90M"
"06/12/2018","20,61","20,80","0,49","20,31","20,80","10,30M"
"05/12/2018","20,76","20,70","-0,29","20,58","20,84","2,00M"
"04/12/2018","21,01","20,76","-0,56","20,47","21,06","2,50M"
"03/12/2018","21,39","20,88","-0,86","20,74","21,50","4,28M"
"30/11/2018","21,11","21,06","-0,13","20,92","21,36","5,40M"
"29/11/2018","20,98","21,09","0,36","20,85","21,15","6,38M"
"28/11/2018","20,62","21,01","1,92","20,47","21,02","7,29M"
"27/11/2018","20,31","20,61","2,44","20,11","20,63","2,16M"
"26/11/2018","20,54","20,12","-1,41","19,96","20,69","2,31M"
"23/11/2018","20,68","20,41","-1,29","20,35","20,68","2,38M"
"22/11/2018","20,71","20,68","0,93","20,40","20,81","2,15M"
"21/11/2018","20,48","20,48","-0,60","20,40","20,85","4,27M"
"19/11/2018","20,52","20,61","0,67","20,43","20,72","1,54M"
"16/11/2018","20,09","20,47","2,97","20,08","20,52","4,19M"
"14/11/2018","20,01","19,88","-0,11","19,70","20,09","1,96M"
"13/11/2018","20,22","19,90","-1,91","19,72","20,32","3,16M"
"12/11/2018","20,29","20,29","0,16","19,94","20,29","2,11M"
"09/11/2018","20,00","20,26","2,09","19,78","20,26","1,19M"
"08/11/2018","20,37","19,84","-2,59","19,82","20,47","2,15M"
"07/11/2018","20,16","20,37","1,42","20,09","20,42","2,13M"
"06/11/2018","20,29","20,08","-1,08","20,02","20,34","2,28M"
"05/11/2018","19,82","20,30","2,46","19,79","20,30","6,70M"
"01/11/2018","19,20","19,82","2,80","19,20","19,82","2,55M"
"31/10/2018","19,45","19,28","-0,87","19,08","19,69","3,25M"
"30/10/2018","18,73","19,45","3,16","18,39","19,45","3,49M"
"29/10/2018","19,35","18,85","-0,82","18,54","19,67","3,70M"
"26/10/2018","18,96","19,00","0,24","18,74","19,09","1,31M"
"25/10/2018","18,64","18,96","2,43","18,58","19,05","2,07M"
"24/10/2018","18,99","18,51","-2,61","18,51","19,08","2,03M"
"23/10/2018","18,85","19,00","-0,07","18,69","19,01","1,54M"
"22/10/2018","18,85","19,02","0,92","18,81","19,12","2,32M"
"19/10/2018","19,07","18,85","-0,89","18,61","19,17","4,51M"
"18/10/2018","19,37","19,01","-1,62","18,87","19,51","1,91M"
"17/10/2018","19,10","19,33","0,69","19,08","19,41","5,51M"
"16/10/2018","18,62","19,20","3,41","18,62","19,28","12,92M"
"15/10/2018","18,58","18,56","0,02","18,53","18,87","5,11M"
"11/10/2018","18,78","18,56","-1,18","18,35","19,02","5,63M"
"10/10/2018","19,37","18,78","-3,05","18,78","19,37","2,32M"
"09/10/2018","19,58","19,37","-0,96","19,23","19,62","4,98M"
"08/10/2018","19,37","19,56","5,70","19,24","20,14","10,88M"
"05/10/2018","18,70","18,50","1,07","18,37","18,81","2,71M"
"04/10/2018","18,45","18,31","-0,81","17,99","18,55","2,09M"
"03/10/2018","18,07","18,46","4,77","18,07","18,87","4,34M"
"02/10/2018","17,44","17,62","2,76","17,44","17,76","8,90M"
"01/10/2018","17,14","17,14","0,04","17,03","17,47","1,48M"
"28/09/2018","17,36","17,14","-1,67","17,14","17,41","2,27M"
"27/09/2018","17,16","17,43","1,27","17,16","17,48","894,25K"
"26/09/2018","16,95","17,21","2,35","16,94","17,38","2,18M"
"25/09/2018","16,77","16,81","-0,29","16,65","16,95","2,69M"
"24/09/2018","17,19","16,86","-1,83","16,82","17,36","2,38M"
"21/09/2018","17,24","17,18","0,86","17,18","17,72","5,84M"
"20/09/2018","17,23","17,03","-0,85","17,03","17,45","1,10M"
"19/09/2018","17,11","17,18","0,40","16,95","17,31","1,40M"
