"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","5,44","5,59","4,06","5,44","5,59","4,60M"
"27/12/2018","5,48","5,38","-1,56","5,36","5,54","3,49M"
"26/12/2018","5,62","5,46","-3,28","5,45","5,62","4,41M"
"21/12/2018","5,46","5,65","2,71","5,44","5,65","6,77M"
"20/12/2018","5,51","5,50","0,53","5,34","5,56","5,57M"
"19/12/2018","5,44","5,47","0,63","5,44","5,58","5,56M"
"18/12/2018","5,27","5,43","3,43","5,24","5,44","5,31M"
"17/12/2018","5,27","5,25","-0,31","5,24","5,31","4,58M"
"14/12/2018","5,21","5,27","1,85","5,18","5,33","5,81M"
"13/12/2018","5,19","5,17","-0,30","5,17","5,24","3,10M"
"12/12/2018","5,09","5,19","2,19","5,09","5,20","4,50M"
"11/12/2018","5,04","5,08","2,40","4,97","5,08","3,24M"
"10/12/2018","5,08","4,96","-2,32","4,96","5,12","3,47M"
"07/12/2018","5,08","5,08","-0,59","5,04","5,17","4,12M"
"06/12/2018","5,02","5,11","0,26","4,99","5,14","3,65M"
"05/12/2018","5,09","5,09","0,07","5,05","5,14","2,44M"
"04/12/2018","5,04","5,09","1,65","4,96","5,19","8,51M"
"03/12/2018","5,19","5,01","-1,52","4,96","5,20","5,76M"
"30/11/2018","5,24","5,09","-3,86","5,08","5,28","9,03M"
"29/11/2018","5,14","5,29","0,70","5,04","5,30","9,02M"
"28/11/2018","5,16","5,25","0,76","5,13","5,36","10,28M"
"27/11/2018","4,95","5,21","6,70","4,92","5,22","7,33M"
"26/11/2018","5,07","4,89","-2,57","4,88","5,13","6,86M"
"23/11/2018","4,95","5,02","1,47","4,95","5,08","5,98M"
"22/11/2018","4,79","4,94","3,07","4,79","4,94","5,48M"
"21/11/2018","4,80","4,80","-0,58","4,70","4,85","4,46M"
"19/11/2018","4,85","4,82","-0,22","4,77","4,87","3,23M"
"16/11/2018","4,85","4,83","0,65","4,79","4,87","6,53M"
"14/11/2018","4,77","4,80","1,36","4,62","4,83","6,90M"
"13/11/2018","4,79","4,74","-0,09","4,71","4,90","8,16M"
"12/11/2018","4,54","4,74","4,88","4,49","4,81","7,85M"
"09/11/2018","4,57","4,52","-0,79","4,42","4,59","9,62M"
"08/11/2018","4,65","4,56","-2,21","4,56","4,76","8,47M"
"07/11/2018","5,00","4,66","-4,79","4,50","5,01","22,62M"
"06/11/2018","5,14","4,90","-8,36","4,85","5,16","16,82M"
"05/11/2018","5,26","5,34","1,78","5,20","5,35","7,18M"
"01/11/2018","5,25","5,25","0,67","5,16","5,28","5,70M"
"31/10/2018","5,25","5,21","-0,28","5,12","5,31","6,03M"
"30/10/2018","5,19","5,23","1,69","5,09","5,23","8,70M"
"29/10/2018","5,31","5,14","-0,21","5,05","5,36","7,15M"
"26/10/2018","5,21","5,15","-0,84","5,08","5,22","7,83M"
"25/10/2018","5,24","5,20","0,13","5,10","5,27","7,82M"
"24/10/2018","5,25","5,19","-0,63","5,19","5,29","5,80M"
"23/10/2018","5,12","5,22","1,17","5,08","5,29","7,26M"
"22/10/2018","5,25","5,16","-1,12","5,16","5,38","7,50M"
"19/10/2018","5,01","5,22","5,05","4,97","5,31","9,82M"
"18/10/2018","5,00","4,97","-0,54","4,91","5,00","6,47M"
"17/10/2018","4,86","5,00","1,60","4,82","5,03","9,05M"
"16/10/2018","4,73","4,92","6,13","4,68","4,95","10,22M"
"15/10/2018","4,73","4,63","-0,46","4,61","4,79","6,16M"
"11/10/2018","4,51","4,66","4,91","4,51","4,69","9,55M"
"10/10/2018","4,59","4,44","-4,36","4,44","4,63","7,42M"
"09/10/2018","4,57","4,64","1,12","4,53","4,69","6,95M"
"08/10/2018","4,60","4,59","4,60","4,55","4,67","7,84M"
"05/10/2018","4,41","4,39","1,79","4,32","4,45","9,14M"
"04/10/2018","4,22","4,31","0,11","4,12","4,32","8,09M"
"03/10/2018","4,24","4,30","6,86","4,23","4,34","12,88M"
"02/10/2018","3,85","4,03","6,33","3,85","4,05","6,88M"
"01/10/2018","3,81","3,79","0,12","3,74","3,85","2,52M"
"28/09/2018","3,82","3,78","-1,35","3,78","3,88","4,11M"
"27/09/2018","3,81","3,84","1,65","3,80","3,90","4,34M"
"26/09/2018","3,80","3,77","-0,80","3,77","3,86","4,73M"
"25/09/2018","3,65","3,80","1,44","3,65","3,86","3,72M"
"24/09/2018","3,80","3,75","-2,10","3,70","3,80","4,21M"
"21/09/2018","3,69","3,83","4,65","3,67","3,87","7,14M"
"20/09/2018","3,77","3,66","-0,44","3,62","3,78","4,33M"
"19/09/2018","3,80","3,68","-4,36","3,68","3,81","6,07M"
"18/09/2018","3,67","3,84","4,66","3,65","3,86","5,84M"
"17/09/2018","3,58","3,67","2,49","3,56","3,68","3,25M"
"14/09/2018","3,56","3,58","0,49","3,53","3,64","4,56M"
"13/09/2018","3,71","3,57","-3,32","3,55","3,71","5,63M"
"12/09/2018","3,74","3,69","0,25","3,65","3,75","4,30M"
"11/09/2018","3,68","3,68","-2,27","3,65","3,74","3,67M"
"10/09/2018","3,90","3,76","-2,67","3,67","3,93","7,32M"
"06/09/2018","3,83","3,87","2,77","3,79","3,89","4,36M"
"05/09/2018","3,64","3,76","3,24","3,62","3,79","6,21M"
"04/09/2018","3,91","3,65","-6,69","3,64","3,92","7,85M"
"03/09/2018","3,98","3,91","-2,91","3,89","3,99","3,24M"
"31/08/2018","4,02","4,02","2,08","3,95","4,03","5,19M"
"30/08/2018","4,06","3,94","-3,42","3,92","4,13","4,89M"
"29/08/2018","4,02","4,08","2,14","4,02","4,12","5,89M"
