"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","19,78","20,27","3,93","19,77","20,46","192,55M"
"27/12/2018","19,60","19,51","-0,57","19,27","19,86","206,16M"
"26/12/2018","18,85","19,62","1,87","18,62","19,62","246,15M"
"21/12/2018","19,23","19,26","0,08","19,00","19,79","357,16M"
"20/12/2018","19,68","19,24","-2,42","19,14","19,84","251,29M"
"19/12/2018","20,23","19,72","-1,63","19,47","20,54","604,78M"
"18/12/2018","20,74","20,05","-3,38","20,05","20,74","196,13M"
"17/12/2018","21,03","20,75","-1,06","20,72","21,20","143,76M"
"14/12/2018","20,79","20,97","-0,75","20,78","21,23","135,78M"
"13/12/2018","20,88","21,13","0,53","20,76","21,19","111,02M"
"12/12/2018","21,42","21,02","0,34","20,92","21,46","228,19M"
"11/12/2018","21,58","20,95","-0,64","20,74","21,62","250,60M"
"10/12/2018","22,18","21,08","-4,96","21,08","22,18","257,13M"
"07/12/2018","21,86","22,18","1,64","21,66","22,76","306,60M"
"06/12/2018","22,32","21,82","-4,16","21,54","22,38","251,26M"
"05/12/2018","22,63","22,77","0,60","22,27","22,84","99,18M"
"04/12/2018","23,10","22,64","-1,76","22,48","23,42","315,01M"
"03/12/2018","23,10","23,04","2,84","22,87","23,40","499,15M"
"30/11/2018","21,91","22,40","1,00","21,90","22,58","262,30M"
"29/11/2018","21,66","22,18","0,65","21,58","22,29","202,59M"
"28/11/2018","22,35","22,04","-1,25","21,64","22,60","431,15M"
"27/11/2018","21,55","22,32","3,40","21,48","22,47","329,63M"
"26/11/2018","21,65","21,58","1,54","21,23","21,83","419,06M"
"23/11/2018","21,54","21,26","-2,34","20,74","21,55","398,03M"
"22/11/2018","21,93","21,77","0,18","21,54","21,93","94,73M"
"21/11/2018","21,73","21,73","-2,32","21,19","21,82","260,33M"
"19/11/2018","22,08","22,24","-0,07","21,85","22,62","178,89M"
"16/11/2018","21,82","22,26","3,16","21,66","22,30","240,43M"
"14/11/2018","21,19","21,58","1,84","20,93","21,70","248,40M"
"13/11/2018","22,21","21,19","-4,61","20,98","22,22","216,32M"
"12/11/2018","22,35","22,21","-0,50","22,16","22,70","185,59M"
"09/11/2018","22,31","22,32","-0,39","21,69","22,62","198,16M"
"08/11/2018","23,57","22,41","-3,29","22,41","23,75","214,52M"
"07/11/2018","24,08","23,17","-2,21","22,96","24,09","281,80M"
"06/11/2018","23,77","23,70","-2,58","23,44","24,55","249,94M"
"05/11/2018","23,73","24,32","2,96","23,62","24,32","217,51M"
"01/11/2018","24,11","23,62","-1,81","23,43","24,27","253,34M"
"31/10/2018","24,42","24,06","-0,66","23,62","24,60","350,60M"
"30/10/2018","23,19","24,22","5,53","22,93","24,22","526,02M"
"29/10/2018","24,67","22,95","-3,60","22,68","24,81","612,02M"
"26/10/2018","23,14","23,81","3,77","22,63","23,81","416,50M"
"25/10/2018","22,85","22,94","2,08","22,40","23,25","262,02M"
"24/10/2018","23,21","22,47","-2,88","22,47","23,61","252,45M"
"23/10/2018","23,20","23,14","-1,88","22,82","23,35","224,28M"
"22/10/2018","23,17","23,58","2,70","23,04","23,61","158,49M"
"19/10/2018","23,16","22,97","1,01","22,77","23,16","144,96M"
"18/10/2018","23,33","22,74","-3,21","22,70","23,41","165,80M"
"17/10/2018","23,43","23,49","-0,67","23,24","23,58","206,75M"
"16/10/2018","23,12","23,65","3,65","23,11","23,65","207,58M"
"15/10/2018","22,85","22,81","2,31","22,51","23,06","336,53M"
"11/10/2018","22,95","22,30","-1,85","22,12","23,18","328,62M"
"10/10/2018","23,29","22,72","-3,70","22,52","23,44","234,27M"
"09/10/2018","23,01","23,59","1,85","22,74","23,66","347,57M"
"08/10/2018","23,59","23,16","9,49","22,49","23,71","759,16M"
"05/10/2018","21,51","21,16","-0,37","21,01","21,76","263,31M"
"04/10/2018","20,87","21,24","1,06","20,57","21,66","281,73M"
"03/10/2018","22,22","21,01","2,60","20,81","22,62","585,69M"
"02/10/2018","19,96","20,48","6,74","19,86","20,61","518,40M"
"01/10/2018","19,31","19,19","-0,21","18,93","19,50","107,37M"
"28/09/2018","19,24","19,23","-1,10","19,10","19,78","212,95M"
"27/09/2018","18,63","19,44","4,88","18,63","19,44","303,75M"
"26/09/2018","18,59","18,54","0,39","18,32","18,72","137,48M"
"25/09/2018","18,05","18,47","0,52","18,05","18,57","126,63M"
"24/09/2018","18,49","18,37","-0,52","18,35","18,81","104,76M"
"21/09/2018","18,48","18,47","1,22","18,31","18,64","256,31M"
"20/09/2018","18,61","18,24","-0,69","18,15","18,66","87,25M"
"19/09/2018","18,25","18,37","-0,56","18,16","18,63","134,73M"
"18/09/2018","17,79","18,47","3,61","17,78","18,51","165,74M"
"17/09/2018","17,42","17,83","2,14","17,34","17,89","130,68M"
"14/09/2018","17,37","17,46","0,69","17,17","17,59","133,05M"
"13/09/2018","17,62","17,34","-1,40","17,28","17,70","113,35M"
"12/09/2018","17,33","17,59","2,69","17,23","17,75","158,84M"
"11/09/2018","17,26","17,12","-2,79","17,03","17,46","300,91M"
"10/09/2018","17,70","17,62","1,28","17,53","17,97","185,71M"
"06/09/2018","17,48","17,39","0,88","17,10","17,59","130,28M"
"05/09/2018","17,08","17,24","0,97","16,82","17,38","172,19M"
"04/09/2018","17,32","17,08","-1,06","17,08","17,43","145,03M"
"03/09/2018","17,44","17,26","-1,49","17,05","17,44","63,97M"
"31/08/2018","17,25","17,52","1,84","17,25","17,67","357,89M"
"30/08/2018","17,53","17,20","-2,21","17,09","17,85","185,61M"
"29/08/2018","16,97","17,59","4,38","16,97","17,74","231,44M"
