"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","40,21","40,76","3,03","40,16","40,92","482,59M"
"27/12/2018","40,04","39,56","-1,86","39,38","40,27","571,40M"
"26/12/2018","40,05","40,31","-0,83","39,48","40,52","535,24M"
"21/12/2018","40,18","40,65","2,11","40,14","40,96","1,15B"
"20/12/2018","40,55","39,81","-0,40","39,52","40,89","1,02B"
"19/12/2018","41,40","39,97","-2,78","39,97","41,88","1,01B"
"18/12/2018","41,04","41,11","0,37","41,04","41,71","785,75M"
"17/12/2018","41,48","40,96","0,73","40,78","41,77","882,64M"
"14/12/2018","40,26","40,66","0,55","39,84","40,91","685,96M"
"13/12/2018","40,64","40,44","0,46","40,16","40,98","614,34M"
"12/12/2018","40,88","40,26","-0,45","40,24","41,08","643,34M"
"11/12/2018","40,88","40,44","0,80","40,16","41,35","791,54M"
"10/12/2018","40,85","40,12","-2,13","40,11","41,27","580,67M"
"07/12/2018","41,94","40,99","-1,93","40,83","42,56","811,65M"
"06/12/2018","41,32","41,80","-0,95","40,81","42,04","885,42M"
"05/12/2018","42,60","42,20","-0,15","41,90","42,74","408,39M"
"04/12/2018","43,44","42,26","-2,27","41,96","43,57","1,15B"
"03/12/2018","44,43","43,24","2,48","42,95","44,50","1,41B"
"30/11/2018","41,21","42,20","1,54","41,21","42,91","1,25B"
"29/11/2018","41,49","41,56","-0,57","40,86","42,14","970,79M"
"28/11/2018","40,36","41,80","4,77","40,14","41,81","1,20B"
"27/11/2018","39,71","39,90","-0,40","39,24","40,35","1,02B"
"26/11/2018","39,92","40,06","-0,46","39,16","40,83","1,21B"
"23/11/2018","42,67","40,24","-6,83","40,24","42,67","1,37B"
"22/11/2018","43,71","43,19","-0,90","42,96","43,73","399,86M"
"21/11/2018","43,58","43,58","-1,52","42,92","43,60","805,41M"
"19/11/2018","44,87","44,25","-1,39","43,80","44,98","574,74M"
"16/11/2018","44,63","44,87","1,79","44,08","45,03","875,62M"
"14/11/2018","44,12","44,08","-1,97","43,36","44,49","1,24B"
"13/11/2018","43,88","44,97","2,59","43,44","44,97","831,17M"
"12/11/2018","44,04","43,84","0,37","43,48","44,31","701,48M"
"09/11/2018","45,15","43,68","-4,16","43,26","45,55","1,29B"
"08/11/2018","46,18","45,57","-0,99","45,57","46,97","775,36M"
"07/11/2018","46,19","46,03","0,63","45,87","46,47","599,40M"
"06/11/2018","45,55","45,74","-0,52","45,20","46,23","514,77M"
"05/11/2018","46,04","45,98","0,05","45,59","46,35","712,38M"
"01/11/2018","45,35","45,95","1,39","44,37","46,56","930,66M"
"31/10/2018","43,44","45,32","5,27","43,37","45,32","1,19B"
"30/10/2018","42,84","43,05","1,45","42,33","43,84","1,02B"
"29/10/2018","45,15","42,44","-4,50","42,04","45,15","1,13B"
"26/10/2018","43,88","44,43","1,81","42,76","44,67","1,16B"
"25/10/2018","44,73","43,64","0,33","43,00","44,79","1,28B"
