"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","20,22","20,17","2,57","19,95","20,29","44,31K"
"27/12/2018","20,42","19,66","-4,95","19,66","20,84","22,33K"
"21/12/2018","19,92","20,69","3,26","19,91","20,69","14,25K"
"20/12/2018","19,73","20,03","0,00","19,73","20,03","47,67K"
"19/12/2018","20,03","20,03","1,88","20,03","20,03","2,00K"
"18/12/2018","19,54","19,66","0,89","19,54","19,73","15,73K"
"17/12/2018","20,07","19,49","-0,06","19,49","20,07","5,96K"
"14/12/2018","19,50","19,50","-0,81","19,50","19,50","1,95K"
"13/12/2018","19,75","19,66","-3,33","19,66","19,75","23,66K"
"12/12/2018","20,21","20,34","3,00","20,21","20,34","30,40K"
"11/12/2018","19,73","19,75","0,19","19,73","19,75","7,90K"
"10/12/2018","19,71","19,71","1,20","19,71","19,71","1,97K"
"07/12/2018","19,48","19,48","0,89","19,48","19,48","107,14K"
"06/12/2018","19,33","19,31","-1,51","19,29","19,33","7,73K"
"05/12/2018","19,31","19,60","0,00","19,31","19,60","44,87K"
"04/12/2018","19,73","19,60","-3,28","19,60","19,73","9,83K"
"03/12/2018","20,34","20,27","0,24","20,27","20,34","4,06K"
"30/11/2018","20,22","20,22","3,15","20,19","20,22","12,12K"
"29/11/2018","19,74","19,60","-1,85","19,26","19,74","466,85K"
"28/11/2018","19,53","19,97","2,21","19,17","19,97","27,42K"
"27/11/2018","19,54","19,54","-0,81","19,54","19,54","1,95K"
"26/11/2018","19,73","19,70","3,10","19,70","19,73","21,70K"
"23/11/2018","19,11","19,11","-0,19","19,11","19,11","5,73K"
"22/11/2018","19,73","19,15","-2,88","19,11","19,73","34,47K"
"21/11/2018","19,34","19,71","1,91","19,71","19,71","3,91K"
"19/11/2018","19,71","19,34","0,19","19,15","19,73","13,71K"
"16/11/2018","19,11","19,31","1,03","19,11","19,31","11,51K"
"14/11/2018","19,12","19,11","-1,90","19,11","19,12","21,02K"
"12/11/2018","19,48","19,48","1,28","19,48","19,57","156,04K"
"09/11/2018","19,20","19,23","1,17","19,11","19,23","51,65K"
"08/11/2018","18,63","19,01","0,39","18,63","19,01","24,45K"
"07/11/2018","19,70","18,94","0,85","18,92","19,70","30,71K"
"06/11/2018","19,11","18,78","-0,78","18,78","19,70","23,03K"
"05/11/2018","18,86","18,92","-4,00","18,86","18,99","11,37K"
"01/11/2018","18,12","19,71","8,48","18,12","19,71","229,00K"
"31/10/2018","18,49","18,17","-2,71","18,17","18,49","169,80K"
"29/10/2018","18,18","18,68","0,00","18,18","18,68","9,29K"
"26/10/2018","18,79","18,68","-0,59","18,68","18,79","11,24K"
"24/10/2018","17,96","18,79","2,63","17,96","18,79","44,16K"
"23/10/2018","17,88","18,31","0,34","17,88","18,31","20,09K"
"22/10/2018","17,88","18,25","-0,34","17,63","18,25","63,08K"
"19/10/2018","17,01","18,31","8,08","17,01","18,79","434,80K"
"17/10/2018","16,40","16,94","3,31","16,40","16,94","6,67K"
"15/10/2018","16,26","16,40","-4,32","16,26","16,77","294,96K"
"11/10/2018","17,12","17,14","6,11","16,64","17,14","10,18K"
"10/10/2018","16,03","16,15","-2,96","16,03","16,15","60,94K"
"09/10/2018","16,64","16,64","-2,53","16,64","16,64","11,65K"
"08/10/2018","17,25","17,08","-1,21","17,08","17,25","6,88K"
"04/10/2018","17,28","17,28","-0,43","17,28","17,28","1,73K"
