"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","13,85","13,99","1,85","13,82","14,25","217,51M"
"27/12/2018","13,77","13,73","-0,26","13,69","14,01","173,25M"
"26/12/2018","13,73","13,77","-0,20","13,66","14,05","158,49M"
"21/12/2018","13,88","13,80","-0,26","13,56","13,94","643,45M"
"20/12/2018","14,21","13,83","-1,23","13,72","14,24","204,63M"
"19/12/2018","14,37","14,01","-1,03","14,01","14,45","186,49M"
"18/12/2018","14,41","14,15","-1,37","14,15","14,41","198,35M"
"17/12/2018","14,36","14,35","0,25","14,26","14,43","220,92M"
"14/12/2018","14,43","14,31","-1,59","14,28","14,65","166,00M"
"13/12/2018","14,28","14,54","2,32","14,28","14,57","196,16M"
"12/12/2018","14,35","14,21","0,00","14,14","14,44","298,92M"
"11/12/2018","14,24","14,21","0,38","14,15","14,43","258,06M"
"10/12/2018","14,36","14,16","-1,37","14,03","14,45","294,27M"
"07/12/2018","14,60","14,36","-1,71","14,31","14,61","244,97M"
"06/12/2018","14,62","14,61","-0,91","14,45","14,71","262,13M"
"05/12/2018","14,93","14,74","-0,66","14,64","14,94","135,60M"
"04/12/2018","14,97","14,84","-0,54","14,77","15,15","498,98M"
"03/12/2018","15,15","14,92","-1,06","14,77","15,16","411,40M"
"30/11/2018","14,79","15,08","1,68","14,69","15,08","526,41M"
"29/11/2018","14,76","14,83","-0,30","14,57","15,02","326,29M"
"28/11/2018","14,72","14,87","0,91","14,53","14,91","276,04M"
"27/11/2018","14,39","14,74","2,41","14,09","14,85","308,97M"
"26/11/2018","14,56","14,39","-0,31","14,20","14,59","221,19M"
"23/11/2018","14,70","14,44","-1,82","14,35","14,77","216,97M"
"22/11/2018","14,73","14,70","0,73","14,65","14,81","111,53M"
"21/11/2018","14,60","14,60","-0,49","14,20","14,61","206,66M"
"19/11/2018","14,68","14,67","-0,24","14,32","14,68","211,54M"
"16/11/2018","14,35","14,70","2,93","14,31","14,70","286,53M"
"14/11/2018","13,99","14,28","1,71","13,97","14,35","267,09M"
"13/11/2018","14,30","14,04","-1,19","13,89","14,40","245,86M"
"12/11/2018","14,29","14,21","-0,81","14,07","14,45","159,39M"
"09/11/2018","14,07","14,33","2,36","14,00","14,37","294,12M"
"08/11/2018","14,61","14,00","-3,91","13,97","14,83","294,63M"
"07/11/2018","14,90","14,57","-1,74","14,54","15,04","243,74M"
"06/11/2018","14,54","14,83","1,09","14,40","14,97","266,62M"
"05/11/2018","14,70","14,67","0,55","14,45","14,75","286,07M"
"01/11/2018","14,59","14,59","0,18","14,38","14,66","324,38M"
"31/10/2018","14,43","14,56","1,81","14,21","14,59","391,58M"
"30/10/2018","13,87","14,30","4,02","13,79","14,37","494,21M"
"29/10/2018","13,85","13,75","1,58","13,63","14,04","438,08M"
"26/10/2018","13,50","13,54","1,27","13,18","13,80","529,93M"
"25/10/2018","13,19","13,37","-5,60","12,96","13,45","1,07B"
"24/10/2018","14,88","14,16","-4,45","14,15","14,88","462,61M"
"23/10/2018","14,85","14,82","-1,13","14,69","14,95","341,54M"
"22/10/2018","15,10","14,99","-0,24","14,77","15,18","301,30M"
"19/10/2018","14,97","15,02","1,26","14,76","15,11","130,17M"
"18/10/2018","15,19","14,84","-2,35","14,84","15,26","210,11M"
"17/10/2018","15,42","15,19","-2,07","15,18","15,46","220,98M"
"16/10/2018","15,15","15,51","2,84","15,14","15,56","211,88M"
"15/10/2018","15,28","15,09","-0,35","15,02","15,31","234,79M"
"11/10/2018","15,42","15,14","-1,22","15,08","15,42","220,55M"
"10/10/2018","15,52","15,33","-1,60","15,33","15,59","172,39M"
"09/10/2018","16,15","15,58","-2,89","15,52","16,17","306,70M"
"08/10/2018","16,04","16,04","1,98","15,90","16,35","427,73M"
"05/10/2018","16,08","15,73","-1,23","15,61","16,11","255,40M"
"04/10/2018","16,17","15,92","-1,43","15,74","16,22","195,33M"
"03/10/2018","16,70","16,16","-0,66","16,07","16,70","347,14M"
"02/10/2018","16,74","16,26","-0,98","16,02","16,75","433,35M"
"01/10/2018","16,35","16,42","0,49","16,35","16,53","102,38M"
"28/09/2018","16,37","16,34","-0,76","16,26","16,49","147,45M"
"27/09/2018","16,74","16,47","-1,18","16,43","16,89","426,66M"
"26/09/2018","16,40","16,66","1,63","16,31","16,84","182,65M"
"25/09/2018","16,26","16,40","0,05","16,18","16,49","187,09M"
"24/09/2018","16,74","16,39","-2,44","16,34","16,77","212,30M"
"21/09/2018","16,80","16,80","0,53","16,75","17,09","334,93M"
"20/09/2018","16,91","16,71","-0,21","16,65","16,91","119,15M"
"19/09/2018","16,61","16,74","0,00","16,53","16,87","217,04M"
"18/09/2018","16,29","16,74","2,34","16,29","16,90","247,90M"
"17/09/2018","16,17","16,36","0,71","16,17","16,41","256,04M"
"14/09/2018","16,27","16,25","-0,55","16,10","16,44","166,61M"
"13/09/2018","16,38","16,33","-0,65","16,23","16,49","178,61M"
"12/09/2018","16,23","16,44","1,43","16,16","16,55","230,44M"
"11/09/2018","16,17","16,21","-0,55","15,94","16,25","229,01M"
"10/09/2018","16,33","16,30","-0,16","16,21","16,44","192,79M"
"06/09/2018","16,26","16,33","0,99","16,02","16,46","259,34M"
"05/09/2018","16,05","16,17","0,72","16,04","16,35","255,55M"
"04/09/2018","16,61","16,05","-3,33","16,05","16,62","313,83M"
"03/09/2018","16,84","16,60","-1,17","16,52","16,86","82,44M"
"31/08/2018","16,90","16,80","-0,79","16,65","16,97","446,70M"
"30/08/2018","17,07","16,93","-1,30","16,69","17,14","304,48M"
"29/08/2018","17,04","17,15","0,79","17,00","17,35","220,39M"
"28/08/2018","17,05","17,02","-0,16","16,93","17,07","199,51M"
"27/08/2018","17,02","17,05","0,32","16,96","17,16","254,47M"
"24/08/2018","16,90","16,99","0,69","16,88","17,07","235,61M"
"23/08/2018","16,87","16,88","0,21","16,71","17,07","251,96M"
"22/08/2018","16,91","16,84","-0,42","16,72","16,97","185,55M"
