"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","7,65","7,71","2,19","7,65","7,89","66,70M"
"27/12/2018","7,70","7,55","-2,03","7,55","7,81","47,09M"
"26/12/2018","7,88","7,70","-2,42","7,63","7,94","64,16M"
"21/12/2018","7,88","7,89","0,55","7,83","8,02","97,74M"
"20/12/2018","8,31","7,85","-4,53","7,81","8,35","93,66M"
"19/12/2018","8,13","8,22","2,03","8,08","8,33","84,73M"
"18/12/2018","8,15","8,06","-1,06","8,06","8,22","61,57M"
"17/12/2018","8,02","8,14","3,01","7,94","8,14","61,07M"
"14/12/2018","7,76","7,91","1,94","7,70","8,03","64,46M"
"13/12/2018","7,92","7,75","-0,96","7,75","7,98","70,52M"
"12/12/2018","7,76","7,83","2,18","7,73","7,94","90,06M"
"11/12/2018","7,75","7,66","0,77","7,54","7,91","82,77M"
"10/12/2018","8,06","7,60","-4,22","7,51","8,10","95,66M"
"07/12/2018","8,10","7,94","-1,56","7,89","8,34","90,08M"
"06/12/2018","7,62","8,06","3,88","7,59","8,16","103,03M"
"05/12/2018","8,08","7,76","-2,73","7,71","8,16","75,74M"
"04/12/2018","8,16","7,98","-1,35","7,95","8,41","150,70M"
"03/12/2018","8,04","8,09","1,47","7,93","8,18","109,47M"
"30/11/2018","7,49","7,97","6,84","7,31","7,97","272,10M"
"29/11/2018","7,65","7,46","-2,30","7,46","7,82","97,81M"
"28/11/2018","7,24","7,64","6,05","7,09","7,75","404,52M"
"27/11/2018","7,41","7,20","-1,72","7,20","7,49","216,43M"
"26/11/2018","7,82","7,33","-5,40","7,30","7,86","101,14M"
"23/11/2018","7,80","7,75","-0,22","7,75","8,01","67,77M"
"22/11/2018","7,93","7,76","-1,07","7,73","7,94","49,13M"
"21/11/2018","7,85","7,85","1,19","7,49","8,05","156,13M"
"19/11/2018","8,12","7,75","-5,02","7,70","8,12","129,35M"
"16/11/2018","8,27","8,16","-0,82","7,80","8,40","241,46M"
"14/11/2018","8,71","8,23","-5,21","8,23","8,73","172,97M"
"13/11/2018","8,88","8,68","-1,52","8,58","9,06","99,42M"
"12/11/2018","8,92","8,82","-0,66","8,58","9,00","171,20M"
"09/11/2018","9,37","8,88","-3,98","8,82","9,42","191,51M"
"08/11/2018","9,61","9,24","-9,58","9,24","9,76","253,98M"
"07/11/2018","10,90","10,22","-5,27","10,22","10,94","123,94M"
"06/11/2018","11,10","10,79","-3,30","10,79","11,48","150,04M"
"05/11/2018","10,80","11,16","3,26","10,51","11,18","143,54M"
"01/11/2018","11,10","10,81","-2,20","10,61","11,22","149,42M"
"31/10/2018","10,46","11,05","4,51","10,45","11,31","143,37M"
"30/10/2018","10,51","10,58","2,02","10,19","10,84","109,29M"
"29/10/2018","10,37","10,37","1,89","10,22","10,58","136,13M"
"26/10/2018","10,22","10,17","1,25","9,97","10,24","124,88M"
"25/10/2018","10,43","10,05","-2,44","9,90","10,45","149,82M"
"24/10/2018","10,63","10,30","-2,61","10,14","10,63","148,38M"
"23/10/2018","10,64","10,58","-1,71","10,42","10,73","72,30M"
"22/10/2018","10,64","10,76","1,66","10,60","10,89","123,95M"
"19/10/2018","10,59","10,58","-0,16","10,48","10,74","129,82M"
"18/10/2018","10,70","10,60","-0,32","10,43","10,94","144,84M"
"17/10/2018","10,38","10,64","1,36","10,38","10,70","112,96M"
"16/10/2018","10,34","10,49","1,87","10,30","10,57","150,74M"
"15/10/2018","10,37","10,30","-1,04","10,20","10,44","104,73M"
"11/10/2018","10,52","10,41","0,24","10,34","10,54","74,64M"
"10/10/2018","10,25","10,38","0,57","10,24","10,58","88,35M"
"09/10/2018","10,80","10,33","-3,67","10,21","10,80","96,92M"
"08/10/2018","10,68","10,72","4,06","10,53","10,98","131,52M"
"05/10/2018","10,56","10,30","0,00","10,21","10,59","51,02M"
"04/10/2018","10,33","10,30","0,16","10,05","10,35","58,21M"
"03/10/2018","10,98","10,28","-4,06","10,28","11,25","91,05M"
"02/10/2018","10,43","10,72","5,35","10,33","10,79","68,95M"
"01/10/2018","10,29","10,17","-0,82","10,06","10,36","50,08M"
"28/09/2018","10,47","10,26","-2,34","10,17","10,48","175,21M"
"27/09/2018","10,55","10,50","0,08","10,45","10,65","165,85M"
"26/09/2018","10,50","10,50","0,40","10,38","10,65","63,91M"
"25/09/2018","10,42","10,45","-0,87","10,26","10,53","122,04M"
"24/09/2018","10,70","10,55","-1,71","10,53","10,75","36,63M"
"21/09/2018","10,71","10,73","1,50","10,57","10,81","118,59M"
"20/09/2018","11,17","10,57","-5,44","10,57","11,31","108,33M"
"19/09/2018","11,46","11,18","-3,25","11,16","11,60","78,12M"
"18/09/2018","11,75","11,55","-2,32","11,38","12,00","83,77M"
"17/09/2018","11,38","11,83","4,57","11,34","11,94","76,39M"
"14/09/2018","11,40","11,31","-0,70","11,24","11,53","86,42M"
"13/09/2018","11,62","11,39","-2,07","11,34","11,62","45,91M"
"12/09/2018","11,51","11,63","1,04","11,51","11,74","59,21M"
"11/09/2018","11,51","11,51","-1,03","11,40","11,71","44,77M"
"10/09/2018","11,43","11,63","2,69","11,35","11,69","52,05M"
"06/09/2018","11,81","11,33","-4,02","11,13","11,87","115,14M"
"05/09/2018","11,87","11,80","-0,87","11,70","11,90","33,31M"
"04/09/2018","12,01","11,91","-0,20","11,76","12,01","54,89M"
"03/09/2018","12,12","11,93","-1,52","11,92","12,20","25,32M"
"31/08/2018","12,20","12,12","-0,92","12,02","12,36","48,90M"
"30/08/2018","12,23","12,23","-0,46","12,15","12,32","67,97M"
"29/08/2018","12,28","12,28","0,39","12,22","12,40","31,92M"
