"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","13,32","13,43","1,57","13,29","13,70","9,27M"
"27/12/2018","13,30","13,22","-1,29","13,09","13,41","6,89M"
"26/12/2018","13,54","13,40","-1,46","12,99","13,54","6,49M"
"21/12/2018","13,42","13,60","1,22","13,22","13,68","6,74M"
"20/12/2018","13,47","13,43","-0,45","13,15","13,65","11,13M"
"19/12/2018","13,75","13,49","-1,58","13,36","13,85","6,04M"
"18/12/2018","13,77","13,71","-0,56","13,52","14,04","9,41M"
"17/12/2018","13,56","13,79","1,14","13,42","13,82","13,86M"
"14/12/2018","13,86","13,63","-1,80","13,24","13,86","15,18M"
"13/12/2018","13,98","13,88","-0,06","13,70","14,00","9,64M"
"12/12/2018","13,55","13,89","3,27","13,55","14,05","16,24M"
"11/12/2018","13,60","13,45","-1,08","13,30","13,72","7,11M"
"10/12/2018","14,05","13,60","-3,44","13,45","14,05","10,21M"
"07/12/2018","13,79","14,08","2,26","13,62","14,11","11,70M"
"06/12/2018","13,81","13,77","0,32","13,48","13,82","5,29M"
"05/12/2018","13,79","13,73","0,63","13,48","13,88","4,35M"
"04/12/2018","13,86","13,64","-0,69","13,43","13,92","11,44M"
"03/12/2018","13,92","13,73","-0,81","13,72","14,11","6,84M"
"30/11/2018","13,89","13,85","-0,25","13,57","13,98","9,09M"
"29/11/2018","13,94","13,88","-0,25","13,73","14,05","7,16M"
"28/11/2018","13,98","13,92","-0,25","13,69","14,07","7,77M"
"27/11/2018","13,66","13,95","2,28","13,52","13,97","6,22M"
"26/11/2018","13,86","13,64","-1,19","13,56","14,15","8,29M"
"23/11/2018","13,96","13,80","-1,05","13,66","13,96","6,72M"
"22/11/2018","14,04","13,95","1,25","13,87","14,17","6,91M"
"21/11/2018","14,12","13,78","-1,85","13,27","14,25","10,05M"
"19/11/2018","13,93","14,04","0,31","13,86","14,20","8,11M"
"16/11/2018","13,74","13,99","3,05","13,45","14,11","5,97M"
"14/11/2018","13,22","13,58","2,55","13,09","13,79","12,80M"
"13/11/2018","13,13","13,24","0,79","12,71","13,24","9,09M"
"12/11/2018","13,10","13,14","-0,07","12,86","13,30","5,70M"
"09/11/2018","13,28","13,15","-1,93","12,88","13,39","10,53M"
"08/11/2018","13,99","13,41","-4,14","13,25","14,00","7,71M"
